A=3, h=1+1+1, 
A=441, h=4+13+16, 
A=441, h=4+16+13, 
A=441, h=4+19+8, 
A=441, h=4+20+5, 
A=441, h=5+4+20, 
A=441, h=5+20+4, 
A=441, h=6+9+18, 
A=441, h=6+18+9, 
A=441, h=7+14+14, 
A=441, h=8+4+19, 
A=441, h=8+11+16, 
A=441, h=8+16+11, 
A=441, h=8+19+4, 
A=441, h=9+6+18, 
A=441, h=9+18+6, 
A=441, h=11+8+16, 
A=441, h=11+16+8, 
A=441, h=13+4+16, 
A=441, h=13+16+4, 
A=441, h=14+7+14, 
A=441, h=14+14+7, 
A=441, h=16+4+13, 
A=441, h=16+8+11, 
A=441, h=16+11+8, 
A=441, h=16+13+4, 
A=441, h=18+6+9, 
A=441, h=18+9+6, 
A=441, h=19+4+8, 
A=441, h=19+8+4, 
A=441, h=20+4+5, 
A=441, h=20+5+4, 
A=442, h=3+12+17, 
A=442, h=3+17+12, 
A=442, h=12+3+17, 
A=442, h=12+17+3, 
A=442, h=17+3+12, 
A=442, h=17+12+3, 
A=443, h=1+1+21, 
A=443, h=1+9+19, 
A=443, h=1+19+9, 
A=443, h=1+21+1, 
A=443, h=7+13+15, 
A=443, h=7+15+13, 
A=443, h=9+1+19, 
A=443, h=9+19+1, 
A=443, h=13+7+15, 
A=443, h=13+15+7, 
A=443, h=15+7+13, 
A=443, h=15+13+7, 
A=443, h=19+1+9, 
A=443, h=19+9+1, 
A=443, h=21+1+1, 
A=445, h=3+6+20, 
A=445, h=3+20+6, 
A=445, h=6+3+20, 
A=445, h=6+20+3, 
A=445, h=20+3+6, 
A=445, h=20+6+3, 
A=446, h=1+2+21, 
A=446, h=1+11+18, 
A=446, h=1+18+11, 
A=446, h=1+21+2, 
A=446, h=2+1+21, 
A=446, h=2+9+19, 
A=446, h=2+19+9, 
A=446, h=2+21+1, 
A=446, h=5+14+15, 
A=446, h=5+15+14, 
A=446, h=6+7+19, 
A=446, h=6+11+17, 
A=446, h=6+17+11, 
A=446, h=6+19+7, 
A=446, h=7+6+19, 
A=446, h=7+19+6, 
A=446, h=9+2+19, 
A=446, h=9+13+14, 
A=446, h=9+14+13, 
A=446, h=9+19+2, 
A=446, h=10+11+15, 
A=446, h=10+15+11, 
A=446, h=11+1+18, 
A=446, h=11+6+17, 
A=446, h=11+10+15, 
A=446, h=11+15+10, 
A=446, h=11+17+6, 
A=446, h=11+18+1, 
A=446, h=13+9+14, 
A=446, h=13+14+9, 
A=446, h=14+5+15, 
A=446, h=14+9+13, 
A=446, h=14+13+9, 
A=446, h=14+15+5, 
A=446, h=15+5+14, 
A=446, h=15+10+11, 
A=446, h=15+11+10, 
A=446, h=15+14+5, 
A=446, h=17+6+11, 
A=446, h=17+11+6, 
A=446, h=18+1+11, 
A=446, h=18+11+1, 
A=446, h=19+2+9, 
A=446, h=19+6+7, 
A=446, h=19+7+6, 
A=446, h=19+9+2, 
A=446, h=21+1+2, 
A=446, h=21+2+1, 
A=449, h=2+2+21, 
A=449, h=2+11+18, 
A=449, h=2+18+11, 
A=449, h=2+21+2, 
A=449, h=4+12+17, 
A=449, h=4+17+12, 
A=449, h=5+10+18, 
A=449, h=5+18+10, 
A=449, h=7+12+16, 
A=449, h=7+16+12, 
A=449, h=10+5+18, 
A=449, h=10+18+5, 
A=449, h=11+2+18, 
A=449, h=11+18+2, 
A=449, h=12+4+17, 
A=449, h=12+7+16, 
A=449, h=12+16+7, 
A=449, h=12+17+4, 
A=449, h=16+7+12, 
A=449, h=16+12+7, 
A=449, h=17+4+12, 
A=449, h=17+12+4, 
A=449, h=18+2+11, 
A=449, h=18+5+10, 
A=449, h=18+10+5, 
A=449, h=18+11+2, 
A=449, h=21+2+2, 
A=450, h=1+7+20, 
A=450, h=1+20+7, 
A=450, h=5+5+20, 
A=450, h=5+8+19, 
A=450, h=5+13+16, 
A=450, h=5+16+13, 
A=450, h=5+19+8, 
A=450, h=5+20+5, 
A=450, h=7+1+20, 
A=450, h=7+20+1, 
A=450, h=8+5+19, 
A=450, h=8+19+5, 
A=450, h=9+12+15, 
A=450, h=9+15+12, 
A=450, h=12+9+15, 
A=450, h=12+15+9, 
A=450, h=13+5+16, 
A=450, h=13+16+5, 
A=450, h=15+9+12, 
A=450, h=15+12+9, 
A=450, h=16+5+13, 
A=450, h=16+13+5, 
A=450, h=19+5+8, 
A=450, h=19+8+5, 
A=450, h=20+1+7, 
A=450, h=20+5+5, 
A=450, h=20+7+1, 
A=451, h=1+3+21, 
A=451, h=1+15+15, 
A=451, h=1+21+3, 
A=451, h=3+1+21, 
A=451, h=3+9+19, 
A=451, h=3+19+9, 
A=451, h=3+21+1, 
A=451, h=9+3+19, 
A=451, h=9+9+17, 
A=451, h=9+17+9, 
A=451, h=9+19+3, 
A=451, h=15+1+15, 
A=451, h=15+15+1, 
A=451, h=17+9+9, 
A=451, h=19+3+9, 
A=451, h=19+9+3, 
A=451, h=21+1+3, 
A=451, h=21+3+1, 
A=452, h=4+6+20, 
A=452, h=4+20+6, 
A=452, h=6+4+20, 
A=452, h=6+20+4, 
A=452, h=8+8+18, 
A=452, h=8+18+8, 
A=452, h=18+8+8, 
A=452, h=20+4+6, 
A=452, h=20+6+4, 
A=453, h=1+14+16, 
A=453, h=1+16+14, 
A=453, h=2+7+20, 
A=453, h=2+20+7, 
A=453, h=7+2+20, 
A=453, h=7+20+2, 
A=453, h=8+10+17, 
A=453, h=8+17+10, 
A=453, h=10+8+17, 
A=453, h=10+17+8, 
A=453, h=14+1+16, 
A=453, h=14+16+1, 
A=453, h=16+1+14, 
A=453, h=16+14+1, 
A=453, h=17+8+10, 
A=453, h=17+10+8, 
A=453, h=20+2+7, 
A=453, h=20+7+2, 
A=454, h=2+3+21, 
A=454, h=2+15+15, 
A=454, h=2+21+3, 
A=454, h=3+2+21, 
A=454, h=3+11+18, 
A=454, h=3+18+11, 
A=454, h=3+21+2, 
A=454, h=7+9+18, 
A=454, h=7+18+9, 
A=454, h=9+7+18, 
A=454, h=9+18+7, 
A=454, h=11+3+18, 
A=454, h=11+18+3, 
A=454, h=15+2+15, 
A=454, h=15+15+2, 
A=454, h=18+3+11, 
A=454, h=18+7+9, 
A=454, h=18+9+7, 
A=454, h=18+11+3, 
A=454, h=21+2+3, 
A=454, h=21+3+2, 
A=456, h=2+14+16, 
A=456, h=2+16+14, 
A=456, h=8+14+14, 
A=456, h=10+10+16, 
A=456, h=10+16+10, 
A=456, h=14+2+16, 
A=456, h=14+8+14, 
A=456, h=14+14+8, 
A=456, h=14+16+2, 
A=456, h=16+2+14, 
A=456, h=16+10+10, 
A=456, h=16+14+2, 
A=457, h=6+14+15, 
A=457, h=6+15+14, 
A=457, h=12+12+13, 
A=457, h=12+13+12, 
A=457, h=13+12+12, 
A=457, h=14+6+15, 
A=457, h=14+15+6, 
A=457, h=15+6+14, 
A=457, h=15+14+6, 
A=458, h=1+4+21, 
A=458, h=1+21+4, 
A=458, h=3+7+20, 
A=458, h=3+20+7, 
A=458, h=4+1+21, 
A=458, h=4+9+19, 
A=458, h=4+19+9, 
A=458, h=4+21+1, 
A=458, h=5+12+17, 
A=458, h=5+17+12, 
A=458, h=7+3+20, 
A=458, h=7+20+3, 
A=458, h=8+13+15, 
A=458, h=8+15+13, 
A=458, h=9+4+19, 
A=458, h=9+11+16, 
A=458, h=9+16+11, 
A=458, h=9+19+4, 
A=458, h=11+9+16, 
A=458, h=11+16+9, 
A=458, h=12+5+17, 
A=458, h=12+17+5, 
A=458, h=13+8+15, 
A=458, h=13+15+8, 
A=458, h=15+8+13, 
A=458, h=15+13+8, 
A=458, h=16+9+11, 
A=458, h=16+11+9, 
A=458, h=17+5+12, 
A=458, h=17+12+5, 
A=458, h=19+4+9, 
A=458, h=19+9+4, 
A=458, h=20+3+7, 
A=458, h=20+7+3, 
A=458, h=21+1+4, 
A=458, h=21+4+1, 
A=459, h=1+13+17, 
A=459, h=1+17+13, 
A=459, h=3+3+21, 
A=459, h=3+15+15, 
A=459, h=3+21+3, 
A=459, h=7+7+19, 
A=459, h=7+11+17, 
A=459, h=7+17+11, 
A=459, h=7+19+7, 
A=459, h=11+7+17, 
A=459, h=11+13+13, 
A=459, h=11+17+7, 
A=459, h=13+1+17, 
A=459, h=13+11+13, 
A=459, h=13+13+11, 
A=459, h=13+17+1, 
A=459, h=15+3+15, 
A=459, h=15+15+3, 
A=459, h=17+1+13, 
A=459, h=17+7+11, 
A=459, h=17+11+7, 
A=459, h=17+13+1, 
A=459, h=19+7+7, 
A=459, h=21+3+3, 
A=460, h=6+10+18, 
A=460, h=6+18+10, 
A=460, h=10+6+18, 
A=460, h=10+18+6, 
A=460, h=18+6+10, 
A=460, h=18+10+6, 
A=461, h=2+4+21, 
A=461, h=2+21+4, 
A=461, h=3+14+16, 
A=461, h=3+16+14, 
A=461, h=4+2+21, 
A=461, h=4+11+18, 
A=461, h=4+18+11, 
A=461, h=4+21+2, 
A=461, h=5+6+20, 
A=461, h=5+20+6, 
A=461, h=6+5+20, 
A=461, h=6+8+19, 
A=461, h=6+13+16, 
A=461, h=6+16+13, 
A=461, h=6+19+8, 
A=461, h=6+20+5, 
A=461, h=8+6+19, 
A=461, h=8+19+6, 
A=461, h=11+4+18, 
A=461, h=11+12+14, 
A=461, h=11+14+12, 
A=461, h=11+18+4, 
A=461, h=12+11+14, 
A=461, h=12+14+11, 
A=461, h=13+6+16, 
A=461, h=13+16+6, 
A=461, h=14+3+16, 
A=461, h=14+11+12, 
A=461, h=14+12+11, 
A=461, h=14+16+3, 
A=461, h=16+3+14, 
A=461, h=16+6+13, 
A=461, h=16+13+6, 
A=461, h=16+14+3, 
A=461, h=18+4+11, 
A=461, h=18+11+4, 
A=461, h=19+6+8, 
A=461, h=19+8+6, 
A=461, h=20+5+6, 
A=461, h=20+6+5, 
A=461, h=21+2+4, 
A=461, h=21+4+2, 
A=462, h=1+10+19, 
A=462, h=1+19+10, 
A=462, h=2+13+17, 
A=462, h=2+17+13, 
A=462, h=10+1+19, 
A=462, h=10+19+1, 
A=462, h=13+2+17, 
A=462, h=13+17+2, 
A=462, h=17+2+13, 
A=462, h=17+13+2, 
A=462, h=19+1+10, 
A=462, h=19+10+1, 
A=464, h=8+12+16, 
A=464, h=8+16+12, 
A=464, h=12+8+16, 
A=464, h=12+16+8, 
A=464, h=16+8+12, 
A=464, h=16+12+8, 
A=465, h=1+8+20, 
A=465, h=1+20+8, 
A=465, h=2+10+19, 
A=465, h=2+19+10, 
A=465, h=4+7+20, 
A=465, h=4+20+7, 
A=465, h=7+4+20, 
A=465, h=7+20+4, 
A=465, h=8+1+20, 
A=465, h=8+20+1, 
A=465, h=10+2+19, 
A=465, h=10+13+14, 
A=465, h=10+14+13, 
A=465, h=10+19+2, 
A=465, h=13+10+14, 
A=465, h=13+14+10, 
A=465, h=14+10+13, 
A=465, h=14+13+10, 
A=465, h=19+2+10, 
A=465, h=19+10+2, 
A=465, h=20+1+8, 
A=465, h=20+4+7, 
A=465, h=20+7+4, 
A=465, h=20+8+1, 
A=466, h=3+4+21, 
A=466, h=3+21+4, 
A=466, h=4+3+21, 
A=466, h=4+15+15, 
A=466, h=4+21+3, 
A=466, h=15+4+15, 
A=466, h=15+15+4, 
A=466, h=21+3+4, 
A=466, h=21+4+3, 
A=467, h=1+5+21, 
A=467, h=1+21+5, 
A=467, h=3+13+17, 
A=467, h=3+17+13, 
A=467, h=5+1+21, 
A=467, h=5+9+19, 
A=467, h=5+19+9, 
A=467, h=5+21+1, 
A=467, h=9+5+19, 
A=467, h=9+19+5, 
A=467, h=11+11+15, 
A=467, h=11+15+11, 
A=467, h=13+3+17, 
A=467, h=13+17+3, 
A=467, h=15+11+11, 
A=467, h=17+3+13, 
A=467, h=17+13+3, 
A=467, h=19+5+9, 
A=467, h=19+9+5, 
A=467, h=21+1+5, 
A=467, h=21+5+1, 
A=468, h=2+8+20, 
A=468, h=2+20+8, 
A=468, h=4+14+16, 
A=468, h=4+16+14, 
A=468, h=8+2+20, 
A=468, h=8+20+2, 
A=468, h=14+4+16, 
A=468, h=14+16+4, 
A=468, h=16+4+14, 
A=468, h=16+14+4, 
A=468, h=20+2+8, 
A=468, h=20+8+2, 
A=469, h=1+12+18, 
A=469, h=1+18+12, 
A=469, h=6+12+17, 
A=469, h=6+17+12, 
A=469, h=8+9+18, 
A=469, h=8+18+9, 
A=469, h=9+8+18, 
A=469, h=9+18+8, 
A=469, h=10+12+15, 
A=469, h=10+15+12, 
A=469, h=12+1+18, 
A=469, h=12+6+17, 
A=469, h=12+10+15, 
A=469, h=12+15+10, 
A=469, h=12+17+6, 
A=469, h=12+18+1, 
A=469, h=15+10+12, 
A=469, h=15+12+10, 
A=469, h=17+6+12, 
A=469, h=17+12+6, 
A=469, h=18+1+12, 
A=469, h=18+8+9, 
A=469, h=18+9+8, 
A=469, h=18+12+1, 
A=470, h=2+5+21, 
A=470, h=2+21+5, 
A=470, h=3+10+19, 
A=470, h=3+19+10, 
A=470, h=5+2+21, 
A=470, h=5+11+18, 
A=470, h=5+18+11, 
A=470, h=5+21+2, 
A=470, h=7+14+15, 
A=470, h=7+15+14, 
A=470, h=9+10+17, 
A=470, h=9+17+10, 
A=470, h=10+3+19, 
A=470, h=10+9+17, 
A=470, h=10+17+9, 
A=470, h=10+19+3, 
A=470, h=11+5+18, 
A=470, h=11+18+5, 
A=470, h=14+7+15, 
A=470, h=14+15+7, 
A=470, h=15+7+14, 
A=470, h=15+14+7, 
A=470, h=17+9+10, 
A=470, h=17+10+9, 
A=470, h=18+5+11, 
A=470, h=18+11+5, 
A=470, h=19+3+10, 
A=470, h=19+10+3, 
A=470, h=21+2+5, 
A=470, h=21+5+2, 
A=472, h=2+12+18, 
A=472, h=2+18+12, 
A=472, h=6+6+20, 
A=472, h=6+20+6, 
A=472, h=12+2+18, 
A=472, h=12+18+2, 
A=472, h=18+2+12, 
A=472, h=18+12+2, 
A=472, h=20+6+6, 
A=473, h=3+8+20, 
A=473, h=3+20+8, 
A=473, h=4+4+21, 
A=473, h=4+21+4, 
A=473, h=7+10+18, 
A=473, h=7+18+10, 
A=473, h=8+3+20, 
A=473, h=8+20+3, 
A=473, h=9+14+14, 
A=473, h=10+7+18, 
A=473, h=10+18+7, 
A=473, h=14+9+14, 
A=473, h=14+14+9, 
A=473, h=18+7+10, 
A=473, h=18+10+7, 
A=473, h=20+3+8, 
A=473, h=20+8+3, 
A=473, h=21+4+4, 
A=474, h=4+13+17, 
A=474, h=4+17+13, 
A=474, h=5+7+20, 
A=474, h=5+20+7, 
A=474, h=7+5+20, 
A=474, h=7+8+19, 
A=474, h=7+13+16, 
A=474, h=7+16+13, 
A=474, h=7+19+8, 
A=474, h=7+20+5, 
A=474, h=8+7+19, 
A=474, h=8+11+17, 
A=474, h=8+17+11, 
A=474, h=8+19+7, 
A=474, h=11+8+17, 
A=474, h=11+17+8, 
A=474, h=13+4+17, 
A=474, h=13+7+16, 
A=474, h=13+16+7, 
A=474, h=13+17+4, 
A=474, h=16+7+13, 
A=474, h=16+13+7, 
A=474, h=17+4+13, 
A=474, h=17+8+11, 
A=474, h=17+11+8, 
A=474, h=17+13+4, 
A=474, h=19+7+8, 
A=474, h=19+8+7, 
A=474, h=20+5+7, 
A=474, h=20+7+5, 
A=475, h=3+5+21, 
A=475, h=3+21+5, 
A=475, h=5+3+21, 
A=475, h=5+15+15, 
A=475, h=5+21+3, 
A=475, h=9+13+15, 
A=475, h=9+15+13, 
A=475, h=13+9+15, 
A=475, h=13+15+9, 
A=475, h=15+5+15, 
A=475, h=15+9+13, 
A=475, h=15+13+9, 
A=475, h=15+15+5, 
A=475, h=21+3+5, 
A=475, h=21+5+3, 
A=477, h=3+12+18, 
A=477, h=3+18+12, 
A=477, h=4+10+19, 
A=477, h=4+19+10, 
A=477, h=5+14+16, 
A=477, h=5+16+14, 
A=477, h=10+4+19, 
A=477, h=10+11+16, 
A=477, h=10+16+11, 
A=477, h=10+19+4, 
A=477, h=11+10+16, 
A=477, h=11+16+10, 
A=477, h=12+3+18, 
A=477, h=12+18+3, 
A=477, h=14+5+16, 
A=477, h=14+16+5, 
A=477, h=16+5+14, 
A=477, h=16+10+11, 
A=477, h=16+11+10, 
A=477, h=16+14+5, 
A=477, h=18+3+12, 
A=477, h=18+12+3, 
A=477, h=19+4+10, 
A=477, h=19+10+4, 
A=478, h=1+6+21, 
A=478, h=1+21+6, 
A=478, h=6+1+21, 
A=478, h=6+9+19, 
A=478, h=6+19+9, 
A=478, h=6+21+1, 
A=478, h=9+6+19, 
A=478, h=9+19+6, 
A=478, h=19+6+9, 
A=478, h=19+9+6, 
A=478, h=21+1+6, 
A=478, h=21+6+1, 
A=480, h=4+8+20, 
A=480, h=4+20+8, 
A=480, h=8+4+20, 
A=480, h=8+20+4, 
A=480, h=20+4+8, 
A=480, h=20+8+4, 
A=481, h=2+6+21, 
A=481, h=2+21+6, 
A=481, h=6+2+21, 
A=481, h=6+11+18, 
A=481, h=6+18+11, 
A=481, h=6+21+2, 
A=481, h=9+12+16, 
A=481, h=9+16+12, 
A=481, h=11+6+18, 
A=481, h=11+18+6, 
A=481, h=12+9+16, 
A=481, h=12+16+9, 
A=481, h=16+9+12, 
A=481, h=16+12+9, 
A=481, h=18+6+11, 
A=481, h=18+11+6, 
A=481, h=21+2+6, 
A=481, h=21+6+2, 
A=482, h=1+9+20, 
A=482, h=1+15+16, 
A=482, h=1+16+15, 
A=482, h=1+20+9, 
A=482, h=4+5+21, 
A=482, h=4+21+5, 
A=482, h=5+4+21, 
A=482, h=5+21+4, 
A=482, h=7+12+17, 
A=482, h=7+17+12, 
A=482, h=9+1+20, 
A=482, h=9+20+1, 
A=482, h=12+7+17, 
A=482, h=12+13+13, 
A=482, h=12+17+7, 
A=482, h=13+12+13, 
A=482, h=13+13+12, 
A=482, h=15+1+16, 
A=482, h=15+16+1, 
A=482, h=16+1+15, 
A=482, h=16+15+1, 
A=482, h=17+7+12, 
A=482, h=17+12+7, 
A=482, h=20+1+9, 
A=482, h=20+9+1, 
A=482, h=21+4+5, 
A=482, h=21+5+4, 
A=483, h=1+11+19, 
A=483, h=1+19+11, 
A=483, h=5+13+17, 
A=483, h=5+17+13, 
A=483, h=11+1+19, 
A=483, h=11+19+1, 
A=483, h=13+5+17, 
A=483, h=13+17+5, 
A=483, h=17+5+13, 
A=483, h=17+13+5, 
A=483, h=19+1+11, 
A=483, h=19+11+1, 
A=484, h=4+12+18, 
A=484, h=4+18+12, 
A=484, h=12+4+18, 
A=484, h=12+12+14, 
A=484, h=12+14+12, 
A=484, h=12+18+4, 
A=484, h=14+12+12, 
A=484, h=18+4+12, 
A=484, h=18+12+4, 
A=485, h=2+9+20, 
A=485, h=2+15+16, 
A=485, h=2+16+15, 
A=485, h=2+20+9, 
A=485, h=6+7+20, 
A=485, h=6+20+7, 
A=485, h=7+6+20, 
A=485, h=7+20+6, 
A=485, h=8+14+15, 
A=485, h=8+15+14, 
A=485, h=9+2+20, 
A=485, h=9+20+2, 
A=485, h=14+8+15, 
A=485, h=14+15+8, 
A=485, h=15+2+16, 
A=485, h=15+8+14, 
A=485, h=15+14+8, 
A=485, h=15+16+2, 
A=485, h=16+2+15, 
A=485, h=16+15+2, 
A=485, h=20+2+9, 
A=485, h=20+6+7, 
A=485, h=20+7+6, 
A=485, h=20+9+2, 
A=486, h=1+1+22, 
A=486, h=1+14+17, 
A=486, h=1+17+14, 
A=486, h=1+22+1, 
A=486, h=2+11+19, 
A=486, h=2+19+11, 
A=486, h=3+6+21, 
A=486, h=3+21+6, 
A=486, h=5+10+19, 
A=486, h=5+19+10, 
A=486, h=6+3+21, 
A=486, h=6+15+15, 
A=486, h=6+21+3, 
A=486, h=9+9+18, 
A=486, h=9+18+9, 
A=486, h=10+5+19, 
A=486, h=10+19+5, 
A=486, h=11+2+19, 
A=486, h=11+13+14, 
A=486, h=11+14+13, 
A=486, h=11+19+2, 
A=486, h=13+11+14, 
A=486, h=13+14+11, 
A=486, h=14+1+17, 
A=486, h=14+11+13, 
A=486, h=14+13+11, 
A=486, h=14+17+1, 
A=486, h=15+6+15, 
A=486, h=15+15+6, 
A=486, h=17+1+14, 
A=486, h=17+14+1, 
A=486, h=18+9+9, 
A=486, h=19+2+11, 
A=486, h=19+5+10, 
A=486, h=19+10+5, 
A=486, h=19+11+2, 
A=486, h=21+3+6, 
A=486, h=21+6+3, 
A=486, h=22+1+1, 
A=488, h=6+14+16, 
A=488, h=6+16+14, 
A=488, h=8+10+18, 
A=488, h=8+18+10, 
A=488, h=10+8+18, 
A=488, h=10+18+8, 
A=488, h=14+6+16, 
A=488, h=14+16+6, 
A=488, h=16+6+14, 
A=488, h=16+14+6, 
A=488, h=18+8+10, 
A=488, h=18+10+8, 
A=489, h=1+2+22, 
A=489, h=1+22+2, 
A=489, h=2+1+22, 
A=489, h=2+14+17, 
A=489, h=2+17+14, 
A=489, h=2+22+1, 
A=489, h=5+8+20, 
A=489, h=5+20+8, 
A=489, h=8+5+20, 
A=489, h=8+8+19, 
A=489, h=8+13+16, 
A=489, h=8+16+13, 
A=489, h=8+19+8, 
A=489, h=8+20+5, 
A=489, h=10+10+17, 
A=489, h=10+17+10, 
A=489, h=13+8+16, 
A=489, h=13+16+8, 
A=489, h=14+2+17, 
A=489, h=14+17+2, 
A=489, h=16+8+13, 
A=489, h=16+13+8, 
A=489, h=17+2+14, 
A=489, h=17+10+10, 
A=489, h=17+14+2, 
A=489, h=19+8+8, 
A=489, h=20+5+8, 
A=489, h=20+8+5, 
A=489, h=22+1+2, 
A=489, h=22+2+1, 
A=490, h=3+9+20, 
A=490, h=3+15+16, 
A=490, h=3+16+15, 
A=490, h=3+20+9, 
A=490, h=9+3+20, 
A=490, h=9+20+3, 
A=490, h=11+12+15, 
A=490, h=11+15+12, 
A=490, h=12+11+15, 
A=490, h=12+15+11, 
A=490, h=15+3+16, 
A=490, h=15+11+12, 
A=490, h=15+12+11, 
A=490, h=15+16+3, 
A=490, h=16+3+15, 
A=490, h=16+15+3, 
A=490, h=20+3+9, 
A=490, h=20+9+3, 
A=491, h=1+7+21, 
A=491, h=1+21+7, 
A=491, h=3+11+19, 
A=491, h=3+19+11, 
A=491, h=5+5+21, 
A=491, h=5+21+5, 
A=491, h=7+1+21, 
A=491, h=7+9+19, 
A=491, h=7+19+9, 
A=491, h=7+21+1, 
A=491, h=9+7+19, 
A=491, h=9+11+17, 
A=491, h=9+17+11, 
A=491, h=9+19+7, 
A=491, h=11+3+19, 
A=491, h=11+9+17, 
A=491, h=11+17+9, 
A=491, h=11+19+3, 
A=491, h=17+9+11, 
A=491, h=17+11+9, 
A=491, h=19+3+11, 
A=491, h=19+7+9, 
A=491, h=19+9+7, 
A=491, h=19+11+3, 
A=491, h=21+1+7, 
A=491, h=21+5+5, 
A=491, h=21+7+1, 
A=492, h=2+2+22, 
A=492, h=2+22+2, 
A=492, h=10+14+14, 
A=492, h=14+10+14, 
A=492, h=14+14+10, 
A=492, h=22+2+2, 
A=493, h=4+6+21, 
A=493, h=4+21+6, 
A=493, h=5+12+18, 
A=493, h=5+18+12, 
A=493, h=6+4+21, 
A=493, h=6+21+4, 
A=493, h=12+5+18, 
A=493, h=12+18+5, 
A=493, h=18+5+12, 
A=493, h=18+12+5, 
A=493, h=21+4+6, 
A=493, h=21+6+4, 
A=494, h=1+3+22, 
A=494, h=1+13+18, 
A=494, h=1+18+13, 
A=494, h=1+22+3, 
A=494, h=2+7+21, 
A=494, h=2+21+7, 
A=494, h=3+1+22, 
A=494, h=3+14+17, 
A=494, h=3+17+14, 
A=494, h=3+22+1, 
A=494, h=6+13+17, 
A=494, h=6+17+13, 
A=494, h=7+2+21, 
A=494, h=7+11+18, 
A=494, h=7+18+11, 
A=494, h=7+21+2, 
A=494, h=10+13+15, 
A=494, h=10+15+13, 
A=494, h=11+7+18, 
A=494, h=11+18+7, 
A=494, h=13+1+18, 
A=494, h=13+6+17, 
A=494, h=13+10+15, 
A=494, h=13+15+10, 
A=494, h=13+17+6, 
A=494, h=13+18+1, 
A=494, h=14+3+17, 
A=494, h=14+17+3, 
A=494, h=15+10+13, 
A=494, h=15+13+10, 
A=494, h=17+3+14, 
A=494, h=17+6+13, 
A=494, h=17+13+6, 
A=494, h=17+14+3, 
A=494, h=18+1+13, 
A=494, h=18+7+11, 
A=494, h=18+11+7, 
A=494, h=18+13+1, 
A=494, h=21+2+7, 
A=494, h=21+7+2, 
A=494, h=22+1+3, 
A=494, h=22+3+1, 
A=497, h=2+3+22, 
A=497, h=2+13+18, 
A=497, h=2+18+13, 
A=497, h=2+22+3, 
A=497, h=3+2+22, 
A=497, h=3+22+2, 
A=497, h=4+9+20, 
A=497, h=4+15+16, 
A=497, h=4+16+15, 
A=497, h=4+20+9, 
A=497, h=6+10+19, 
A=497, h=6+19+10, 
A=497, h=8+12+17, 
A=497, h=8+17+12, 
A=497, h=9+4+20, 
A=497, h=9+20+4, 
A=497, h=10+6+19, 
A=497, h=10+19+6, 
A=497, h=12+8+17, 
A=497, h=12+17+8, 
A=497, h=13+2+18, 
A=497, h=13+18+2, 
A=497, h=15+4+16, 
A=497, h=15+16+4, 
A=497, h=16+4+15, 
A=497, h=16+15+4, 
A=497, h=17+8+12, 
A=497, h=17+12+8, 
A=497, h=18+2+13, 
A=497, h=18+13+2, 
A=497, h=19+6+10, 
A=497, h=19+10+6, 
A=497, h=20+4+9, 
A=497, h=20+9+4, 
A=497, h=22+2+3, 
A=497, h=22+3+2, 
A=498, h=4+11+19, 
A=498, h=4+19+11, 
A=498, h=7+7+20, 
A=498, h=7+20+7, 
A=498, h=11+4+19, 
A=498, h=11+11+16, 
A=498, h=11+16+11, 
A=498, h=11+19+4, 
A=498, h=16+11+11, 
A=498, h=19+4+11, 
A=498, h=19+11+4, 
A=498, h=20+7+7, 
A=499, h=3+7+21, 
A=499, h=3+21+7, 
A=499, h=7+3+21, 
A=499, h=7+15+15, 
A=499, h=7+21+3, 
A=499, h=15+7+15, 
A=499, h=15+15+7, 
A=499, h=21+3+7, 
A=499, h=21+7+3, 
A=500, h=6+8+20, 
A=500, h=6+20+8, 
A=500, h=8+6+20, 
A=500, h=8+20+6, 
A=500, h=10+12+16, 
A=500, h=10+16+12, 
A=500, h=12+10+16, 
A=500, h=12+16+10, 
A=500, h=16+10+12, 
A=500, h=16+12+10, 
A=500, h=20+6+8, 
A=500, h=20+8+6, 
A=501, h=1+4+22, 
A=501, h=1+10+20, 
A=501, h=1+20+10, 
A=501, h=1+22+4, 
A=501, h=4+1+22, 
A=501, h=4+14+17, 
A=501, h=4+17+14, 
A=501, h=4+22+1, 
A=501, h=7+14+16, 
A=501, h=7+16+14, 
A=501, h=10+1+20, 
A=501, h=10+20+1, 
A=501, h=14+4+17, 
A=501, h=14+7+16, 
A=501, h=14+16+7, 
A=501, h=14+17+4, 
A=501, h=16+7+14, 
A=501, h=16+14+7, 
A=501, h=17+4+14, 
A=501, h=17+14+4, 
A=501, h=20+1+10, 
A=501, h=20+10+1, 
A=501, h=22+1+4, 
A=501, h=22+4+1, 
A=502, h=3+3+22, 
A=502, h=3+13+18, 
A=502, h=3+18+13, 
A=502, h=3+22+3, 
A=502, h=5+6+21, 
A=502, h=5+21+6, 
A=502, h=6+5+21, 
A=502, h=6+21+5, 
A=502, h=9+14+15, 
A=502, h=9+15+14, 
A=502, h=13+3+18, 
A=502, h=13+18+3, 
A=502, h=14+9+15, 
A=502, h=14+15+9, 
A=502, h=15+9+14, 
A=502, h=15+14+9, 
A=502, h=18+3+13, 
A=502, h=18+13+3, 
A=502, h=21+5+6, 
A=502, h=21+6+5, 
A=502, h=22+3+3, 
A=504, h=2+4+22, 
A=504, h=2+10+20, 
